location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case
United Kingdom,22/12/2020,2116609,36931,31881.857,68409,691,486.143,31178.872,544.015,469.638,1007.704,10.179,7.161,1529,22.523,21387,315.043,453903,48926548,720.716,6.686,416747,6.139,0.077,13.1
United Kingdom,23/12/2020,2155996,39387,33894.286,69157,748,505.571,31759.065,580.193,499.282,1018.723,11.018,7.447,1554,22.891,21116,311.051,509507,49436437,728.227,7.505,437523,6.445,0.077,12.9
United Kingdom,24/12/2020,2195144,39148,34410.857,69732,575,511.714,32335.737,576.673,506.892,1027.193,8.47,7.538,1607,23.672,21463,316.162,463123,49899989,735.056,6.822,446946,6.584,0.077,13
United Kingdom,25/12/2020,2227947,32803,35017,70302,570,523.143,32818.945,483.207,515.821,1035.589,8.396,7.706,1616,23.805,20797,306.352,339024,50239228,740.053,4.994,439531,6.475,0.08,12.6
United Kingdom,26/12/2020,2262735,34788,36094,70513,211,476.571,33331.392,512.447,531.685,1038.697,3.108,7.02,1682,24.777,21592,318.063,269876,50509650,744.036,3.975,415202,6.116,0.087,11.5
United Kingdom,27/12/2020,2295228,32493,35581,70860,347,479.571,33810.032,478.641,524.129,1043.809,5.112,7.064,1751,25.793,22614,333.117,352702,50931123,750.245,5.196,413474,6.091,0.086,11.6
United Kingdom,28/12/2020,2336688,41460,36715.714,71217,357,499.857,34420.762,610.73,540.844,1049.067,5.259,7.363,1847,27.207,23902,352.09,357238,51289157,755.519,5.262,402747,5.933,0.091,11
United Kingdom,29/12/2020,2389963,53275,39050.571,71675,458,466.571,35205.534,784.771,575.237,1055.814,6.747,6.873,1939,28.563,25386,373.95,344775,51635380,760.619,5.079,386976,5.7,0.101,9.9
United Kingdom,30/12/2020,2440202,50239,40600.857,72657,982,500,35945.583,740.049,598.074,1070.28,14.465,7.365,2066,30.433,26368,388.416,420492,52058247,766.848,6.194,374544,5.517,0.108,9.2
United Kingdom,31/12/2020,2496231,56029,43012.429,73622,965,555.714,36770.923,825.339,633.598,1084.495,14.215,8.186,2122,31.258,26372,388.475,482473,52560089,774.24,7.107,380014,5.598,0.113,8.8
