location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case
United Kingdom,03/09/2020,342708,1779,1457,41616,14,7.429,5048.287,26.206,21.462,613.028,0.206,0.109,76,1.12,813,11.976,198603,16085952,236.955,2.926,187181,2.757,0.008,128.5
United Kingdom,04/09/2020,344686,1978,1554.286,41626,10,7.571,5077.424,29.137,22.896,613.175,0.147,0.112,69,1.016,814,11.991,202893,16288845,239.944,2.989,189075,2.785,0.008,121.6
United Kingdom,05/09/2020,346513,1827,1656.714,41638,12,7.571,5104.336,26.913,24.404,613.352,0.177,0.112,65,0.957,808,11.902,189054,16477899,242.729,2.785,190364,2.804,0.009,114.9
United Kingdom,06/09/2020,349500,2987,1833.143,41640,2,7.714,5148.337,44,27.003,613.381,0.029,0.114,69,1.016,814,11.991,192892,16670772,245.57,2.841,192055,2.829,0.01,104.8
United Kingdom,07/09/2020,352451,2951,2052.571,41643,3,7.714,5191.807,43.47,30.236,613.425,0.044,0.114,77,1.134,898,13.228,201965,16872752,248.545,2.975,195142,2.875,0.011,95.1
United Kingdom,08/09/2020,354932,2481,2216.714,41675,32,11.857,5228.353,36.547,32.653,613.897,0.471,0.175,80,1.178,890,13.11,202809,17076613,251.548,2.987,199807,2.943,0.011,90.1
United Kingdom,09/09/2020,357613,2681,2383.429,41683,8,11.571,5267.846,39.493,35.109,614.015,0.118,0.17,80,1.178,919,13.537,220626,17302598,254.877,3.25,202321,2.98,0.012,84.9
United Kingdom,10/09/2020,360544,2931,2548,41697,14,11.571,5311.021,43.175,37.534,614.221,0.206,0.17,78,1.149,939,13.832,233125,17544471,258.44,3.434,208360,3.069,0.012,81.8
United Kingdom,11/09/2020,364088,3544,2771.714,41703,6,11,5363.226,52.205,40.829,614.309,0.088,0.162,143,2.106,765,11.269,241650,17825744,262.583,3.56,219557,3.234,0.013,79.2
United Kingdom,12/09/2020,367592,3504,3011.286,41712,9,10.571,5414.842,51.616,44.358,614.442,0.133,0.156,86,1.267,807,11.888,228748,18054492,265.953,3.37,225228,3.318,0.013,74.8
United Kingdom,13/09/2020,370930,3338,3061.429,41717,5,11,5464.013,49.171,45.097,614.515,0.074,0.162,92,1.355,837,12.329,225380,18279872,269.273,3.32,229871,3.386,0.013,75.1
United Kingdom,14/09/2020,373555,2625,3014.857,41726,9,11.857,5502.681,38.668,44.411,614.648,0.133,0.175,105,1.547,976,14.377,216526,18496398,272.463,3.19,231949,3.417,0.013,76.9
United Kingdom,15/09/2020,376670,3115,3105.429,41753,27,11.143,5548.566,45.886,45.745,615.046,0.398,0.164,115,1.694,1061,15.629,236827,18734356,275.968,3.489,236820,3.488,0.013,76.3
United Kingdom,16/09/2020,380677,4007,3294.857,41773,20,12.857,5607.592,59.025,48.535,615.34,0.295,0.189,124,1.827,1101,16.218,242273,18979747,279.583,3.569,239593,3.529,0.014,72.7
